index,start station id,start station name,x1,y1,episode,cluster,community,lon,lat
582,492,W 33 St & 7 Ave,300765.9053708437,64799.044431391405,0.0,15.0,0.0,-73.99093085,40.75019994999986
583,2000,Front St & Washington St,300895.6291440136,59507.70991676065,0.0,0.0,2.0,-73.98940236,40.70255087999985
584,482,W 15 St & 7 Ave,300057.6198123698,63594.73514967073,0.0,13.0,0.0,-73.99931783,40.73935541999983
585,258,DeKalb Ave & Vanderbilt Ave,302632.6847238478,58048.57608549039,0.0,11.0,2.0,-73.96885458,40.68940746999984
586,476,E 31 St & 3 Ave,301717.8511516086,64104.39401068386,0.0,10.0,0.0,-73.97966069,40.74394313999984
587,523,W 38 St & 8 Ave,300727.79671735805,65294.97972801036,0.0,6.0,0.0,-73.99138152,40.754665909999844
588,478,11 Ave & W 41 St,300097.7616938332,65920.71011891271,0.0,6.0,0.0,-73.99884222,40.76030095999985
589,248,Laight St & Hudson St,299347.94197528803,61651.23601161261,0.0,12.0,1.0,-74.00771779000002,40.72185378999984
590,281,Grand Army Plaza & Central Park S,302219.37006246566,66375.91421787301,0.0,1.0,0.0,-73.97371465,40.76439709999985
592,406,Hicks St & Montague St,300342.25730224437,58683.41831032541,0.0,0.0,2.0,-73.99595065000001,40.695128449999835
594,521,8 Ave & W 31 St,300438.25974311406,64826.78437873311,0.0,15.0,0.0,-73.99481051,40.75044998999985
595,237,E 11 St & 2 Ave,301121.5317042606,62608.450983209936,0.0,14.0,0.0,-73.98672378,40.730473089999826
596,487,E 20 St & FDR Drive,302049.42396966746,62905.09349627224,0.0,14.0,0.0,-73.97573881,40.73314258999984
598,462,W 22 St & 10 Ave,299618.35483636684,64434.73505090945,0.0,13.0,0.0,-74.00451887,40.74691958999984
599,270,Adelphi St & Myrtle Ave,302384.4993335392,58456.60380456869,0.0,18.0,2.0,-73.97178913000002,40.693082569999824
600,477,W 41 St & 8 Ave,300842.22616183956,65488.16898129069,0.0,6.0,0.0,-73.9900262,40.756405479999856
605,293,Lafayette St & E 8 St,300780.17016488605,62587.70437142531,0.0,7.0,0.0,-73.9907647,40.73028665999984
607,400,Pitt St & Stanton St,301539.4047873532,61363.42155007198,0.0,9.0,1.0,-73.98178024,40.71926080999984
608,291,Madison St & Montgomery St,301280.66267552465,60682.11287226576,0.0,5.0,1.0,-73.984844,40.71312599999984
611,511,E 14 St & Avenue B,301881.8098878497,62487.98008353734,0.0,14.0,0.0,-73.97772429,40.72938684999984
612,466,W 25 St & 6 Ave,300722.23890899576,64105.44803134328,0.0,15.0,0.0,-73.99144871,40.74395410999983
613,369,Washington Pl & 6 Ave,299977.703802375,62804.71068545936,0.0,17.0,0.0,-74.00026394,40.732241189999854
614,395,Bond St & Schermerhorn St,301343.496310134,57899.710211224025,0.0,0.0,2.0,-73.98410637,40.68807002999984
615,168,W 18 St & 6 Ave,300459.14762862306,63634.459010693885,0.0,15.0,0.0,-73.99456405,40.739713009999846
618,433,E 13 St & Avenue A,301641.1952310835,62506.44123293826,0.0,14.0,0.0,-73.98057249,40.729553609999854
619,174,E 25 St & 1 Ave,301910.083634795,63464.0641684345,0.0,16.0,0.0,-73.97738662,40.73817649999983
623,519,Pershing Square N,301883.0873654481,64986.26268087386,0.0,10.0,0.0,-73.97770164000002,40.751884059999846
624,300,Shevchenko Pl & E 6 St,300826.7182014473,62349.881599110595,0.0,14.0,0.0,-73.990214,40.72814499999985
625,480,W 53 St & 10 Ave,300792.1906749855,66630.99289724256,0.0,1.0,0.0,-73.99061728,40.766696709999835
626,447,8 Ave & W 52 St,301252.8828431003,66299.09580730372,0.0,1.0,0.0,-73.9851615,40.76370738999985
627,398,Atlantic Ave & Furman St,300001.80885529716,58297.339281962675,0.0,0.0,2.0,-73.99997859999999,40.691651829999856
628,512,W 29 St & 9 Ave,300135.7319180491,64784.87508362622,0.0,15.0,0.0,-73.99839279,40.750072699999855
629,500,Broadway & W 51 St,301404.8671948063,66141.53029858346,0.0,1.0,0.0,-73.98336183,40.76228825999984
630,495,W 47 St & 10 Ave,300590.01936045976,66187.01264147714,0.0,1.0,0.0,-73.99301222,40.76269881999985
631,483,E 12 St & 3 Ave,300937.70331062056,62803.82948535765,0.0,7.0,0.0,-73.98889957,40.73223271999984
634,536,1 Ave & E 30 St,302081.0947553629,63826.94691031637,0.0,10.0,0.0,-73.97536082,40.74144386999984
636,357,E 11 St & Broadway,300711.23488357716,62846.5745464001,0.0,7.0,0.0,-73.99158043,40.73261786999982
637,236,St Marks Pl & 2 Ave,301086.4414632193,62380.29799902901,0.0,14.0,0.0,-73.98713956,40.728418599999834
639,472,E 32 St & Park Ave,301524.6007608261,64300.792197638206,0.0,10.0,0.0,-73.98194829,40.74571209999984
640,167,E 39 St & 3 Ave,302022.7579217614,64654.990224125526,0.0,10.0,0.0,-73.97604882,40.74890059999985
641,212,W 16 St & The High Line,299424.18861626054,64038.27744620701,0.0,13.0,0.0,-74.00681753,40.743349349999846
642,525,W 34 St & 11 Ave,299821.2902160694,65436.608773610984,0.0,6.0,0.0,-74.0021163,40.75594158999982
643,341,Stanton St & Mangin St,302003.3751621972,61203.692037307315,0.0,9.0,1.0,-73.97628939,40.71782142999984
644,454,E 51 St & 1 Ave,302877.10230484855,65283.44354308143,0.0,3.0,0.0,-73.96592976,40.75455730999985
646,537,Lexington Ave & E 24 St,301343.6467093993,63695.17372142176,0.0,16.0,0.0,-73.98409214,40.74025877999985
647,379,W 31 St & 7 Ave,300709.4056154273,64683.10953177736,0.0,15.0,0.0,-73.9916,40.74915599999983
