1391187060,10,0,0
1391190660,10,0,0
1391194260,10,0,0
1391197860,10,0,0
1391201460,10,0,0
1391205060,10,0,0
1391208660,10,0,0
1391212260,10,0,0
1391215860,10,0,0
1391219460,9,0,0
1391223060,10,0,0
1391226660,10,0,0
1391230260,10,0,0
1391233860,10,0,0
1391237460,10,0,0
1391241060,10,0,0
1391244660,10,0,0
1391248260,10,0,0
1391251860,9,0,0
1391255460,9,0,0
1391262660,8,0,0
1391266260,7,0,0
1391269860,6,0,0
1391273460,5,0,0
1391277060,6,0,0
1391280660,5,0,0
1391284260,6,0,0
1391287860,7,0,0
1391291460,7,0,0
1391295060,8,0,0
1391298660,6,0,0
1391302260,8,0,0
1391305860,7,0,0
1391309460,7,0,0
1391313060,7,0,0
1391316660,9,0,0
1391320260,10,0,0
1391323860,10,0,0
1391327460,10,0,0
1391331060,10,0,0
1391334660,10,0,0
1391338260,10,0,0
1391341860,10,0,0
1391345460,10,0,0
1391349060,10,0,0
1391352660,10,0,0
1391356260,10,0,0
1391359860,7,1,0
1391363460,7,1,0
1391367060,6,1,0
1391370660,5,0,1
1391374260,1.5,0,1
1391377860,1.5,0,1
1391377920,1.5,0,1
1391378340,1.5,0,1
1391378400,1.5,0,1
1391381460,0.5,0,1
1391385060,0.5,0,1
1391388660,0.2,0,1
1391392260,0.2,0,1
1391395860,0.2,0,1
1391399460,0.2,0,1
1391403060,0.2,0,1
1391406660,0.2,0,1
1391410260,0.8,0,1
1391413860,0.2,0,1
1391417460,0.5,0,1
1391421060,1.8,0,1
1391424660,2.5,0,0
1391428260,3,0,0
1391431860,3,0,0
1391435460,3,0,0
1391439060,3,0,0
1391442660,3,0,0
1391446260,3,0,0
1391449860,3,0,0
1391453460,3,0,0
1391454900,3,0,0
1391457060,3,0,0
1391460660,3,0,0
1391464260,3,0,0
1391467860,3,0,0
1391471460,2,0,0
1391475060,2,0,0
1391478660,2,0,0
1391482260,2,0,0
1391485860,3,0,0
1391489460,5,0,0
1391493060,7,0,0
1391496660,8,0,0
1391500260,7,0,0
1391503860,7,0,0
1391507460,7,0,0
1391511060,7,0,0
1391514660,7,0,0
1391521860,8,0,0
1391525460,9,0,0
1391529060,8,0,0
1391532660,8,0,0
1391536260,1,0,1
1391539860,1.2,0,1
1391543460,0.2,0,1
1391547060,2,0,0
1391550660,2,1,0
1391554260,1.8,1,0
1391557860,1.8,1,0
1391561460,2.5,1,0
1391565060,7,0,0
1391568660,5,0,0
1391572260,4,0,0
1391575860,3,0,0
1391579460,1.5,0,0
1391583060,3,0,0
1391586660,4,0,0
