72,W 52 St & 11 Ave,39
79,Franklin St & W Broadway,33
82,St James Pl & Pearl St,27
83,Atlantic Ave & Fort Greene Pl,62
119,Park Ave & St Edwards St,19
120,Lexington Ave & Classon Ave,19
127,Barrow St & Hudson St,31
128,MacDougal St & Prince St,30
143,Clinton St & Joralemon St,24
144,Nassau St & Navy St,19
146,Hudson St & Reade St,39
150,E 2 St & Avenue C,29
151,Cleveland Pl & Spring St,33
157,Henry St & Atlantic Ave,23
161,LaGuardia Pl & W 3 St,35
164,E 47 St & 2 Ave,47
167,E 39 St & 3 Ave,45
168,W 18 St & 6 Ave,47
173,Broadway & W 49 St,51
174,E 25 St & 1 Ave,30
195,Liberty St & Broadway,45
212,W 16 St & The High Line,28
216,Columbia Heights & Cranberry St,23
217,Old Fulton St,39
223,W 13 St & 7 Ave,33
228,E 48 St & 3 Ave,55
229,Great Jones St,23
232,Cadman Plaza E & Tillary St,23
236,St Marks Pl & 2 Ave,39
237,E 11 St & 2 Ave,39
238,Bank St & Washington St,31
239,Willoughby St & Fleet St,31
241,DeKalb Ave & S Portland Ave,23
242,Carlton Ave & Flushing Ave,23
243,Fulton St & Rockwell Pl,31
244,Willoughby Ave & Hall St,31
245,Myrtle Ave & St Edwards St,23
247,Perry St & Bleecker St,20
248,Laight St & Hudson St,23
249,Harrison St & Hudson St,27
251,Mott St & Prince St,27
252,MacDougal St & Washington Sq,33
254,W 11 St & 6 Ave,31
257,Lispenard St & Broadway,39
258,DeKalb Ave & Vanderbilt Ave,23
259,South St & Whitehall St,39
260,Broad St & Bridge St,35
261,Johnson St & Gold St,27
262,Washington Park,24
264,Maiden Ln & Pearl St,27
265,Stanton St & Chrystie St,35
266,Avenue D & E 8 St,24
267,Broadway & W 36 St,57
268,Howard St & Centre St,27
270,Adelphi St & Myrtle Ave,23
274,Lafayette Ave & Fort Greene Pl,31
275,Washington Ave & Greene Ave,19
276,Duane St & Greenwich St,25
278,Concord St & Bridge St,19
279,Peck Slip & Front St,36
280,E 10 St & 5 Ave,31
281,Grand Army Plaza & Central Park S,57
282,Kent Ave & S 11 St,27
285,Broadway & E 14 St,51
289,Monroe St & Classon Ave,19
291,Madison St & Montgomery St,20
293,Lafayette St & E 8 St,55
295,Pike St & E Broadway,24
296,Division St & Bowery,35
297,E 15 St & 3 Ave,27
298,3 Ave & Schermerhorn St,35
